Month,data science,big data
2010-01,7,4
2010-02,7,4
2010-03,6,4
2010-04,6,4
2010-05,5,4
2010-06,5,5
2010-07,4,4
2010-08,5,4
2010-09,7,4
2010-10,6,4
2010-11,6,4
2010-12,5,4
2011-01,8,5
2011-02,7,5
2011-03,6,6
2011-04,6,6
2011-05,6,6
2011-06,4,7
2011-07,4,7
2011-08,6,7
2011-09,9,8
2011-10,7,10
2011-11,8,10
2011-12,6,10
2012-01,8,12
2012-02,7,17
2012-03,7,18
2012-04,7,21
2012-05,6,21
2012-06,5,20
2012-07,5,20
2012-08,8,21
2012-09,13,24
2012-10,10,26
2012-11,10,27
2012-12,7,23
2013-01,10,27
2013-02,9,29
2013-03,8,37
2013-04,10,39
2013-05,10,34
2013-06,8,35
2013-07,7,32
2013-08,12,34
2013-09,17,37
2013-10,14,41
2013-11,13,37
2013-12,12,32
2014-01,16,41
2014-02,16,43
2014-03,15,46
2014-04,16,47
2014-05,15,48
2014-06,14,51
2014-07,14,51
2014-08,20,52
2014-09,24,53
2014-10,21,56
2014-11,20,52
2014-12,19,44
2015-01,22,48
2015-02,23,53
2015-03,22,57
2015-04,22,56
2015-05,22,48
2015-06,22,49
2015-07,21,44
2015-08,27,43
2015-09,35,50
2015-10,31,50
2015-11,25,45
2015-12,25,35
2016-01,29,39
2016-02,28,53
2016-03,28,45
2016-04,31,44
2016-05,28,41
2016-06,25,40
2016-07,28,39
2016-08,31,35
2016-09,41,42
2016-10,36,43
2016-11,35,42
2016-12,32,35
2017-01,43,41
2017-02,44,48
2017-03,44,45
2017-04,45,44
2017-05,42,42
2017-06,40,38
2017-07,39,38
2017-08,46,36
2017-09,57,41
2017-10,52,44
2017-11,47,40
2017-12,42,32
2018-01,53,35
2018-02,52,38
2018-03,51,40
2018-04,52,37
2018-05,53,32
2018-06,46,29
2018-07,47,27
2018-08,59,30
2018-09,63,35
2018-10,62,34
2018-11,56,34
2018-12,49,26
2019-01,65,33
2019-02,63,37
2019-03,58,33
2019-04,62,34
2019-05,58,28
2019-06,57,27
2019-07,55,28
2019-08,66,28
2019-09,74,34
2019-10,71,37
2019-11,65,34
2019-12,56,30
2020-01,70,32
2020-02,70,34
2020-03,57,30
2020-04,61,31
2020-05,62,28
2020-06,59,27
2020-07,64,28
2020-08,65,27
2020-09,78,34
2020-10,61,32
2020-11,49,30
2020-12,48,25
2021-01,54,26
2021-02,51,29
2021-03,49,28
2021-04,55,31
2021-05,49,29
2021-06,48,26
2021-07,47,24
2021-08,56,25
2021-09,63,35
2021-10,64,38
2021-11,60,45
2021-12,59,36
2022-01,78,31
2022-02,80,36
2022-03,83,36
2022-04,89,33
2022-05,75,29
2022-06,66,26
2022-07,65,26
2022-08,85,26
2022-09,90,33
2022-10,89,32
2022-11,79,29
2022-12,69,25
2023-01,84,27
2023-02,84,30
2023-03,79,25
2023-04,78,24
2023-05,71,21
2023-06,63,17
2023-07,62,17
2023-08,84,18
2023-09,96,26
2023-10,90,27
2023-11,84,23
2023-12,71,18
2024-01,93,23
2024-02,92,30
2024-03,88,26
2024-04,88,26
2024-05,81,21
2024-06,69,20
2024-07,65,17
2024-08,85,22
2024-09,100,28
2024-10,92,29
2024-11,84,25
2024-12,76,20
2025-01,94,25
2025-02,95,28
2025-03,92,29
2025-04,92,28
2025-05,88,30
2025-06,91,38
2025-07,72,29
